vtkOriginalCellIds,attribute,perm_0,perm_1,perm_2,poro,vol
30107,2,1.76835e-13,1.76835e-13,1.76835e-13,0.244681,147820
30146,2,1.7196e-13,1.7196e-13,1.7196e-13,0.243506,147910
30185,2,1.7003e-13,1.7003e-13,1.7003e-13,0.243035,147917
30224,2,5.01319e-14,5.01319e-14,5.01319e-14,0.210134,143730
30263,2,5.01319e-14,5.01319e-14,5.01319e-14,0.210134,144099
30302,2,6.68733e-14,6.68733e-14,6.68733e-14,0.21478,144033
30341,2,1.00712e-13,1.00712e-13,1.00712e-13,0.224031,143962
30380,2,1.52003e-13,1.52003e-13,1.52003e-13,0.237846,143929
30419,2,1.86198e-13,1.86198e-13,1.86198e-13,0.247056,143807
30458,2,1.82795e-13,1.82795e-13,1.82795e-13,0.246233,143757
30497,2,1.75533e-13,1.75533e-13,1.75533e-13,0.244468,143718
30536,2,1.71673e-13,1.71673e-13,1.71673e-13,0.243526,143731
30575,2,5.11565e-14,5.11565e-14,5.11565e-14,0.210699,139501
30614,2,5.11565e-14,5.11565e-14,5.11565e-14,0.210699,139781
30653,2,5.11565e-14,5.11565e-14,5.11565e-14,0.210699,139775
30692,2,1.02448e-13,1.02448e-13,1.02448e-13,0.224514,139754
30731,2,1.70837e-13,1.70837e-13,1.70837e-13,0.242934,139654
30770,2,1.87934e-13,1.87934e-13,1.87934e-13,0.247539,139598
30809,2,1.84074e-13,1.84074e-13,1.84074e-13,0.246597,139586
30848,2,1.76354e-13,1.76354e-13,1.76354e-13,0.244714,139539
30887,2,1.72494e-13,1.72494e-13,1.72494e-13,0.243772,139582
30926,2,5.11565e-14,5.11565e-14,5.11565e-14,0.210699,135808
30965,2,5.11565e-14,5.11565e-14,5.11565e-14,0.210699,136178
31004,2,5.11565e-14,5.11565e-14,5.11565e-14,0.210699,136258
31043,2,1.19545e-13,1.19545e-13,1.19545e-13,0.229119,136291
31082,2,1.87934e-13,1.87934e-13,1.87934e-13,0.247539,136303
